neighbourhood,assault_rate,assault_count,break-enter_count,break-enter_rate,homicide_count,homicide_rate,robbery_count,robbery_rate,shooting_count,shooting_rate
St Lawrence-East Bayfront-The Islands,1079.68371582031,355,150,456.204376220703,,,43,130.778594970703,2,6.08272504806519
Harbourfront-CityPlace,925.895080566406,278,54,179.850128173828,,,23,76.6028289794922,6,19.9833469390869
Wellington Place,1240.04504394531,341,148,538.201416015625,1,3.63649582862854,19,69.0934219360352,6,21.8189754486084
Fort York-Liberty Village,713.752563476563,153,41,191.267028808594,,,7,32.655345916748,2,9.33009910583496
West Queen West,736.981140136719,106,51,354.585266113281,,,11,76.4791793823242,1,6.95265245437622
Humber Bay Shores,452.147705078125,102,29,128.551803588867,,,6,26.596923828125,1,4.43282079696655
Mimico-Queensway,1329.62890625,268,25,124.03254699707,,,8,39.6904144287109,2,9.92260360717773
Etobicoke City Centre,620.697875976563,156,76,302.391265869141,1,3.97883272171021,11,43.7671585083008,3,11.9364976882935
Islington,227.143661499023,56,44,178.470031738281,,,11,44.6175079345703,1,4.05613708496094
Bendale South,539.012084960938,61,4,35.3450546264648,,,7,61.8538475036621,2,17.6725273132324
Caledonia-Fairbank,610.395812988281,64,10,95.3743438720703,,,2,19.0748691558838,2,19.0748691558838
Briar Hill-Belgravia,465.329650878906,71,40,262.157562255859,1,6.55393886566162,16,104.863021850586,,
Oakwood Village,450.429748535156,98,35,160.867767333984,,,12,55.1546630859375,3,13.7886657714844
Humewood-Cedarvale,336.33056640625,49,19,130.41389465332,,,3,20.591667175293,,
Lawrence Park North,287.920440673828,44,20,130.872924804688,,,8,52.3491706848145,,
Lawrence Park South,192.122955322266,30,26,166.506561279297,,,7,44.8286895751953,,
Forest Hill North,310.173706054688,40,12,93.0521087646484,,,3,23.2630271911621,1,7.75434255599976
Forest Hill South,139.811248779297,16,25,218.455078125,,,2,17.4764060974121,,
Yonge-Eglinton,492.990295410156,64,31,238.792175292969,,,4,30.8118934631348,,
Mount Pleasant East,283.102325439453,48,33,194.632858276367,,,9,53.0816879272461,,
Rosedale-Moore Park,745.807800292969,157,64,304.023559570313,1,4.75036811828613,29,137.760681152344,1,4.75036811828613
Yonge-St.Clair,372.698028564453,51,30,219.234146118164,,,5,36.5390243530273,,
Casa Loma,388.251190185547,46,35,295.408508300781,,,1,8.44024276733398,1,8.44024276733398
Annex,1006.21118164063,324,157,487.57763671875,,,52,161.490676879883,1,3.10559010505676
Wychwood,386.686920166016,56,33,227.869079589844,,,5,34.5256195068359,1,6.90512371063232
Corso Italia-Davenport,858.152465820313,119,31,223.552322387695,,,1,7.21136522293091,,
Weston-Pelham Park,812.003540039063,92,23,203.000885009766,,,6,52.9567527770996,4,35.304500579834
Junction Area,784.8974609375,116,45,304.486083984375,,,9,60.8972206115723,,
Oakridge,1307.90942382813,190,28,192.744537353516,,,22,151.442138671875,3,20.6512012481689
Clairlea-Birchmount,800.332580566406,231,57,197.484664916992,1,3.46464323997498,9,31.1817893981934,2,6.92928647994995
Wexford/Maryvale,726.7099609375,216,70,235.507858276367,2,6.72879600524902,28,94.2031402587891,5,16.8219890594482
Tam O'Shanter-Sullivan,414.981170654297,119,15,52.3085517883301,,,11,38.3596038818359,5,17.4361839294434
Steeles,204.260284423828,49,17,70.8658142089844,,,7,29.1800403594971,1,4.16857719421387
Mount Dennis,703.972412109375,98,15,107.750877380371,1,7.18339204788208,11,79.0173110961914,2,14.3667840957642
Lambton Baby Point,410.826477050781,34,6,72.4987945556641,,,,,,
Weston,1031.03198242188,204,36,181.946838378906,,,25,126.35196685791,4,20.2163143157959
Beechborough-Greenbrook,866.447570800781,58,7,104.571258544922,2,29.8775024414063,13,194.203765869141,5,74.6937561035156
Rockcliffe-Smythe,600.094970703125,139,35,151.103057861328,1,4.31723022460938,16,69.07568359375,12,51.8067588806152
