neighbourhood,total_households,two_parent_families,one_parent_families,prop_single_parent,median_income,unemployment_rate,total_education,bachelors_or_higher,education_rate,assault_2019,assault_rate_2019,assault_2020,assault_rate_2020,assault_2021,assault_rate_2021,assault_2022,assault_rate_2022,assault_2023,assault_rate_2023,assault_2024,assault_rate_2024,breakenter_2019,breakenter_rate_2019,breakenter_2020,breakenter_rate_2020,breakenter_2021,breakenter_rate_2021,breakenter_2022,breakenter_rate_2022,breakenter_2023,breakenter_rate_2023,breakenter_2024,breakenter_rate_2024,homicide_2019,homicide_rate_2019,homicide_2020,homicide_rate_2020,homicide_2021,homicide_rate_2021,homicide_2022,homicide_rate_2022,homicide_2023,homicide_rate_2023,homicide_2024,homicide_rate_2024,robbery_2019,robbery_rate_2019,robbery_2020,robbery_rate_2020,robbery_2021,robbery_rate_2021,robbery_2022,robbery_rate_2022,robbery_2023,robbery_rate_2023,robbery_2024,robbery_rate_2024,shooting_2019,shooting_rate_2019,shooting_2020,shooting_rate_2020,shooting_2021,shooting_rate_2021,shooting_2022,shooting_rate_2022,shooting_2023,shooting_rate_2023,shooting_2024,shooting_rate_2024,cluster,opportunity_index
east-willowdale,15485,2905,580,0.16642754662840745,95000.0,13.5,8505.0,5830.0,0.6854791299235744,55,341.869720458984,40,248.864562988281,54,333.477416992188,58,348.620544433594,47,269.851287841797,86,483.417663574219,54,335.653900146484,36,223.978103637695,26,160.563201904297,40,240.427963256836,73,419.130737304688,54,303.541320800781,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,23,142.96369934082,18,111.989051818848,10,61.7550811767578,12,72.1283874511719,17,97.6057891845703,34,191.118606567383,2,12.4316263198853,2,12.4432277679443,1,6.17550802230835,2,12.0213985443115,1,5.74151706695557,1,5.62113523483276,1,Medium Opportunity
yonge-doris,20160,4240,885,0.17268292682926828,73000.0,12.8,12680.0,9170.0,0.723186119873817,78,363.873870849609,62,290.479766845703,71,331.203063964844,74,337.992156982422,103,450.923736572266,98,422.650634765625,22,102.631088256836,27,126.499252319336,19,88.6318054199219,17,77.646842956543,16,70.0464019775391,18,77.6297073364258,,0.0,,0.0,,0.0,,0.0,1,4.37790012359619,,0.0,20,93.3009872436523,11,51.5367317199707,25,116.620796203613,9,41.1071510314941,14,61.2906036376953,21,90.5679931640625,,0.0,,0.0,,0.0,,0.0,,0.0,1,4.3127613067627,1,Medium Opportunity
fenside-parkwoods,20510,3340,1300,0.2801724137931034,78000.0,15.7,11760.0,5080.0,0.43197278911564624,105,492.033752441406,113,529.224426269531,86,399.832641601563,103,467.565490722656,128,556.424987792969,134,573.360168457031,34,159.325210571289,24,112.401649475098,20,92.9843292236328,11,49.9341773986816,20,86.9413986206055,9,38.5092620849609,1,4.68603563308716,,0.0,1,4.6492166519165,,0.0,1,4.34707021713257,,0.0,25,117.150886535645,5,23.4170093536377,8,37.193733215332,9,40.8552360534668,13,56.5119094848633,11,47.0668792724609,1,4.68603563308716,3,14.0502061843872,3,13.9476499557495,3,13.6184120178223,1,4.34707021713257,1,4.27880716323853,2,Low Opportunity
parkwoods-o'connor-hills,13965,2655,750,0.22026431718061673,98000.0,16.3,7385.0,3490.0,0.47257955314827355,57,395.531188964844,37,257.212371826172,52,359.612731933594,67,454.823150634766,96,626.46826171875,67,432.481292724609,34,235.930892944336,24,166.840454101563,17,117.565696716309,18,122.191299438477,35,228.39990234375,30,193.648330688477,,0.0,1,6.95168590545654,,0.0,,0.0,,0.0,,0.0,9,62.4522933959961,4,27.8067436218262,16,110.65007019043,7,47.5188369750977,6,39.1542663574219,7,45.1846122741699,,0.0,2,13.9033718109131,1,6.91562938690186,2,13.576810836792,2,13.0514230728149,2,12.9098892211914,2,Low Opportunity
east-l'amoreaux,21495,3415,970,0.22120866590649943,85000.0,17.9,11540.0,4030.0,0.3492201039861352,89,399.586944580078,104,466.618804931641,79,351.314086914063,77,337.334625244141,82,345.903991699219,80,334.168762207031,40,179.589630126953,23,103.194541931152,14,62.2581939697266,24,105.143257141113,26,109.676872253418,36,150.375946044922,,0.0,,0.0,,0.0,,0.0,,0.0,1,4.1771092414856,44,197.548599243164,11,49.3539123535156,7,31.1290969848633,7,30.666784286499,10,42.1834144592285,9,37.5939865112305,3,13.4692230224609,3,13.4601583480835,2,8.89402770996094,2,8.76193809509277,4,16.8733654022217,2,8.35421848297119,2,Low Opportunity
l'amoreaux-west,21545,3620,1055,0.22566844919786097,72500.0,15.8,11035.0,4590.0,0.41594925237879476,113,502.289184570313,85,379.362670898438,101,448.171813964844,99,432.938293457031,119,501.749786376953,116,484.221069335938,46,204.471710205078,25,111.577255249023,17,75.4348602294922,17,74.3429412841797,27,113.842391967773,41,171.147109985352,,0.0,3,13.3892707824707,,0.0,1,4.37311410903931,1,4.21638488769531,,0.0,21,93.3457794189453,16,71.4094467163086,8,35.4987564086914,10,43.7311401367188,19,80.1113128662109,28,116.880950927734,6,26.670223236084,8,35.7047233581543,3,13.3120336532593,4,17.4924564361572,1,4.21638488769531,3,12.5229587554932,2,Low Opportunity
malvern-east,26095,3890,1260,0.2446601941747573,85000.0,16.2,14085.0,4335.0,0.3077742279020234,216,803.481750488281,166,615.864074707031,140,514.308776855469,129,464.229156494141,145,501.071258544922,142,484.211975097656,15,55.7973442077637,14,51.9403419494629,20,73.4726867675781,16,57.5788116455078,33,114.036903381348,14,47.7392082214355,,0.0,1,3.71002459526062,1,3.67363429069519,1,3.59867572784424,,0.0,,0.0,23,85.5559310913086,16,59.3603935241699,22,80.819953918457,17,61.1774864196777,20,69.1132736206055,17,57.9690361022949,5,18.5991153717041,9,33.3902206420898,4,14.6945371627808,5,17.9933776855469,3,10.3669910430908,5,17.0497169494629,2,Low Opportunity
malvern-west,17320,2480,700,0.22012578616352202,88000.0,17.5,9390.0,3125.0,0.33280085197018106,120,661.229858398438,73,403.805725097656,91,501.405029296875,84,454.619262695313,92,479.641326904297,103,531.009948730469,29,159.797225952148,11,60.8474388122559,14,77.1392364501953,8,43.2970733642578,16,83.4158782958984,17,87.6424179077148,1,5.51024913787842,,0.0,2,11.0198907852173,,0.0,,0.0,,0.0,25,137.756225585938,8,44.2526817321777,20,110.198905944824,15,81.1820068359375,14,72.9888916015625,15,77.33154296875,8,44.0819931030273,6,33.189510345459,6,33.0596733093262,2,10.8242683410645,3,15.640477180481,4,20.6217460632324,2,Low Opportunity
morningside-heights,24940,3405,575,0.1444723618090452,117000.0,15.0,13520.0,4060.0,0.30029585798816566,112,429.431396484375,82,315.627410888672,88,336.777648925781,101,380.672393798828,121,438.882843017578,128,459.522521972656,36,138.031524658203,19,73.1331787109375,25,95.6754684448242,24,90.4568099975586,33,119.695320129395,39,140.010772705078,,0.0,,0.0,1,3.82701873779297,,0.0,,0.0,,0.0,14,53.6789245605469,16,61.5858345031738,12,45.9242248535156,27,101.76390838623,23,83.4240112304688,23,82.5704574584961,3,11.5026264190674,4,15.3964586257935,3,11.4810562133789,2,7.53806734085083,8,29.0170478820801,12,43.0802383422852,1,Medium Opportunity
west-rouge,20670,3825,775,0.16847826086956522,108000.0,14.5,10855.0,4460.0,0.4108705665591893,74,344.154022216797,66,306.378234863281,67,308.386260986328,62,277.330474853516,68,289.103363037109,84,349.403106689453,23,106.966796875,19,88.1997985839844,22,101.261161804199,22,98.407585144043,26,110.539520263672,21,87.3507766723633,,0.0,1,4.64209461212158,1,4.60277986526489,,0.0,1,4.25151968002319,,0.0,20,93.0146026611328,26,120.694458007813,7,32.2194595336914,14,62.6230087280273,22,93.5334396362305,17,70.712532043457,3,13.9521903991699,2,9.28418922424316,6,27.6166801452637,3,13.4192161560059,3,12.7545595169067,1,4.1595606803894,1,Medium Opportunity
