Year,Low,Med,High
2019,758.4,737.0,446.7
2020,657.2 (-13.3),630.5 (-14.5),359.1 (-19.6)
2021,674.8 (+2.7),652.9 (+3.6),414.6 (+15.5)
2022,717.8 (+6.4),721.7 (+10.5),452.4 (+9.1)
2023,805.6 (+12.2),796.0 (+10.3),482.4 (+6.6)
2024,818.8 (+1.6),828.7 (+4.1),500.1 (+3.7)
