Year,Low,Med,High
2019,28.0,10.1,5.4
2020,25.6 (-8.3),8.0 (-20.9),4.1 (-25.2)
2021,23.0 (-10.2),7.0 (-12.4),3.9 (-3.8)
2022,18.4 (-19.8),8.7 (+24.1),4.7 (+20.2)
2023,15.7 (-15.1),8.2 (-5.9),4.4 (-5.7)
2024,25.1 (+60.3),7.8 (-5.1),6.4 (+44.5)
